time,cml_id,sublink_id,tsl,rsl
2026-01-20 09:30:38.196389,10001,sublink_1,1.0,-46.0
2026-01-20 09:30:38.196389,10002,sublink_1,0.0,-41.0
2026-01-20 09:30:38.196389,10003,sublink_1,-5.0,-39.800000000000004
2026-01-20 09:30:38.196389,10004,sublink_1,-1.0,-49.2
2026-01-20 09:30:38.196389,10005,sublink_1,4.0,-45.4
2026-01-20 09:30:38.196389,10006,sublink_1,3.0,-45.4
2026-01-20 09:30:38.196389,10007,sublink_1,-4.0,-47.9
2026-01-20 09:30:38.196389,10008,sublink_1,2.0,-41.300000000000004
2026-01-20 09:30:38.196389,10009,sublink_1,5.0,-42.6
2026-01-20 09:30:38.196389,10010,sublink_1,5.0,-47.9
